"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Bundesland";"Postleitzahl";"Ort";"Straße";"Hausnummer";"Gemarkung";"Flurstück";"Gemeindeschlüssel";"Koordinate: Breitengrad (WGS84)";"Koordinate: Längengrad (WGS84)";"Anzahl der Solar-Module";"Hauptausrichtung der Solar-Module";"Name des Windparks";"Nabenhöhe der Windenergieanlage";"Rotordurchmesser der Windenergieanlage";"Hersteller der Windenergieanlage";"Typenbezeichnung";"Hauptbrennstoff der Einheit";"Nutzbare Speicherkapazität in kWh";"Technologie der Stromerzeugung";"Lage der Einheit";"Letzte Aktualisierung";"Datum der endgültigen Stilllegung";"Datum der geplanten Inbetriebnahme";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"Volleinspeisung oder Teileinspeisung";"MaStR-Nr. der Genehmigung";"Name des Anschluss-Netzbetreibers";"MaStR-Nr. des Anschluss-Netzbetreibers";"Netzbetreiberprüfung";"Spannungsebene";"MaStR-Nr. der Lokation";"MaStR-Nr. der EEG-Anlage";"EEG-Anlagenschlüssel";"Inbetriebnahmedatum der EEG-Anlage";"Zuschlagnummer (EEG/KWK-Ausschreibung)";"MaStR-Nr. der KWK-Anlage";"Inbetriebnahmedatum der KWK-Anlage";"Elektrische KWK-Leistung";"Thermische Nutzleistung in kW";"MaStR-Nr. der zugeordneten Migrationseinheit"
"SEE937121845473";"Zörbig 04";"In Betrieb";"Wind";"850";"850";"15.12.2003";"6.5.2019";"Sachsen-Anhalt";"06780";"Zörbig";"";"";"Zörbig";"Fl 8 Fls 177";"15082340";"51,639972";"12,17425";"";"";"Windpark Elbe Nr. 22 GmbH & Co. KG";"74";"50";"Vestas Deutschland GmbH";"V52";"";"";"Horizontalläufer";"Windkraft an Land";"25.9.2019";"";"";"Windpark Elbe Nr. 22 GmbH & Co. KG";"ABR990953457030";"Volleinspeisung";"SGE955403225911";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL944200270873";"EEG998775394694";"E41081010000000000000000000005040";"15.12.2003";"";"";"";"";"";""
"SEE974734766566";"Löberitz 03";"In Betrieb";"Wind";"850";"850";"11.12.2003";"6.5.2019";"Sachsen-Anhalt";"06780";"Zörbig";"";"";"Löberitz";"Fl 6 Fls 128";"15082340";"51,663694";"12,185417";"";"";"Windpark Elbe Nr. 22 GmbH & Co. KG";"74";"50";"Vestas Deutschland GmbH";"V52";"";"";"Horizontalläufer";"Windkraft an Land";"25.9.2019";"";"";"Windpark Elbe Nr. 22 GmbH & Co. KG";"ABR990953457030";"Volleinspeisung";"SGE913510344642";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL944200270873";"EEG943723048235";"E41081010000000000000000000005043";"11.12.2003";"";"";"";"";"";""
"SEE988888614758";"Zörbig 02";"In Betrieb";"Wind";"850";"850";"16.12.2003";"6.5.2019";"Sachsen-Anhalt";"06780";"Zörbig";"";"";"Zörbig";"Flur 8: Flurstück 220";"15082340";"51,63675";"12,165361";"";"";"Windpark Elbe Nr. 22 GmbH & Co. KG";"74";"50";"Vestas Deutschland GmbH";"V52";"";"";"Horizontalläufer";"Windkraft an Land";"19.4.2021";"";"";"Windpark Elbe Nr. 22 GmbH & Co. KG";"ABR990953457030";"Volleinspeisung";"SGE955403225911";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL950135305894";"EEG965046543914";"E41081010000000000000000000005038";"16.12.2003";"";"";"";"";"";""
"SEE935107666050";"WKA Cösitz";"In Betrieb";"Wind";"2000";"2000";"26.6.2010";"15.7.2020";"Sachsen-Anhalt";"06369";"Weißandt-Gölzau";"";"";"Weißandt-Gölzau";"Flur:3 Flurstück 68";"15082377";"50,784937";"23,260567";"";"";"WKA Cösitz";"78";"80";"Vestas Deutschland GmbH";"Vestas V 80";"";"";"Horizontalläufer";"Windkraft an Land";"9.12.2020";"";"";"WKA Rauch KG";"ABR959613567052";"Volleinspeisung";"SGE949831043728";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL913585330618";"EEG924677795000";"E41081010000000000000000000137726";"26.6.2010";"";"";"";"";"";""
"SEE962933482875";"78118";"In Betrieb";"Wind";"2000";"2000";"17.8.2006";"18.6.2019";"Sachsen-Anhalt";"06779";"Raguhn-Jeßnitz";"";"";"Raguhn";"Flur 1: Flurstück 14";"15082015";"51,71423";"12,243475";"";"";"WSB Windpark Jeßnitz GmbH & Co. KG";"114";"71";"ENERCON GmbH";"E 70";"";"";"Horizontalläufer";"Windkraft an Land";"7.5.2021";"";"";"WSB Windpark Jeßnitz GmbH & Co. KG";"ABR996507748333";"Volleinspeisung";"SGE954064007317";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SEL952583666480";"EEG963874658381";"E41081010000000000000000000013814";"17.8.2006";"";"";"";"";"";""
"SEE954038225433";"Löberitz 01";"In Betrieb";"Wind";"850";"850";"10.12.2003";"6.5.2019";"Sachsen-Anhalt";"06780";"Zörbig";"";"";"Löberitz";"Flur 6: Flurstück 123";"15082340";"51,662778";"12,187806";"";"";"Windpark Elbe Nr. 22 GmbH & Co. KG";"74";"50";"Vestas Deutschland GmbH";"V52";"";"";"Horizontalläufer";"Windkraft an Land";"22.4.2021";"";"";"Windpark Elbe Nr. 22 GmbH & Co. KG";"ABR990953457030";"Volleinspeisung";"SGE913510344642";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL907318476094";"EEG980096357083";"E41081010000000000000000000005041";"10.12.2003";"";"";"";"";"";""
"SEE922496714851";"ENO 821012";"In Betrieb";"Wind";"2050";"2050";"30.1.2014";"10.4.2019";"Sachsen-Anhalt";"39261";"Zerbst";"";"";"Zerbst";"Flur 17, Flurstück 34";"15082430";"51,987756";"12,118608";"";"";"Zerbst";"80";"82";"eno energy GmbH";"eno82";"";"";"Horizontalläufer";"Windkraft an Land";"9.6.2021";"";"";"Better Energy Zerbst GmbH & Co. KG c/o BDO AG";"ABR970554841315";"Volleinspeisung";"SGE968263438513";"Avacon Netz GmbH (SNB990362338043)";"SNB990362338043";"Geprüft";"Umspannebene Hochspannung/Mittelspannung";"SEL964869907750";"EEG997834868152";"E4187802EA02000000000055574200001";"30.1.2014";"";"";"";"";"";""
"SEE908361671535";"ENO 821011";"In Betrieb";"Wind";"2050";"2050";"29.1.2014";"10.4.2019";"Sachsen-Anhalt";"39261";"Zerbst";"";"";"Zerbst";"Flur 17, Flurstück 28";"15082430";"51,989281";"12,121467";"";"";"Zerbst";"80";"82";"eno energy GmbH";"eno82";"";"";"Horizontalläufer";"Windkraft an Land";"9.6.2021";"";"";"Better Energy Zerbst GmbH & Co. KG c/o BDO AG";"ABR970554841315";"Volleinspeisung";"SGE968263438513";"Avacon Netz GmbH (SNB990362338043)";"SNB990362338043";"Geprüft";"Umspannebene Hochspannung/Mittelspannung";"SEL964869907750";"EEG944583226047";"E4187802EA01000000000055574200001";"29.1.2014";"";"";"";"";"";""
"SEE904971836616";"78120";"In Betrieb";"Wind";"2000";"2000";"4.8.2006";"18.6.2019";"Sachsen-Anhalt";"06779";"Raguhn-Jeßnitz";"";"";"Raguhn";"Flur 1: Flurstück 25";"15082015";"51,710313";"12,246969";"";"";"WSB Windpark Jeßnitz GmbH & Co. KG";"114";"71";"ENERCON GmbH";"E 70";"";"";"Horizontalläufer";"Windkraft an Land";"7.5.2021";"";"";"WSB Windpark Jeßnitz GmbH & Co. KG";"ABR996507748333";"Volleinspeisung";"SGE954064007317";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SEL944415848393";"EEG928988056553";"E41081010000000000000000000013815";"4.8.2006";"";"";"";"";"";""
"SEE946500148326";"Zörbig 03";"In Betrieb";"Wind";"850";"850";"16.12.2003";"6.5.2019";"Sachsen-Anhalt";"06780";"Zörbig";"";"";"Zörbig";"Flur 8: Flurstück 229";"15082340";"51,638111";"12,173194";"";"";"Windpark Elbe Nr. 22 GmbH & Co. KG";"74";"50";"Vestas Deutschland GmbH";"V52";"";"";"Horizontalläufer";"Windkraft an Land";"22.4.2021";"";"";"Windpark Elbe Nr. 22 GmbH & Co. KG";"ABR990953457030";"Volleinspeisung";"SGE955403225911";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL902393151010";"EEG990211233314";"E41081010000000000000000000005039";"16.12.2003";"";"";"";"";"";""
