Time,KEQ0724176:4_13
 01.01.21 19:00:00,20.667
 02.01.21 01:00:00,19.479
 02.01.21 07:00:00,17.589
 02.01.21 13:00:00,19.723
 02.01.21 19:00:00,20.677
 03.01.21 01:00:00,20.121
 03.01.21 07:00:00,17.801
 03.01.21 13:00:00,20.212
 03.01.21 19:00:00,20.646
 04.01.21 01:00:00,20.151
 04.01.21 07:00:00,19.186
 04.01.21 13:00:00,20.191
 04.01.21 19:00:00,20.652
 05.01.21 01:00:00,19.749
 05.01.21 07:00:00,18.739
 05.01.21 13:00:00,20.684
 05.01.21 19:00:00,20.648
 06.01.21 01:00:00,19.693
 06.01.21 07:00:00,18.574
 06.01.21 13:00:00,20.675
 06.01.21 19:00:00,20.673
 07.01.21 01:00:00,19.699
 07.01.21 07:00:00,18.812
 07.01.21 13:00:00,20.668
 07.01.21 19:00:00,20.668
 08.01.21 01:00:00,19.701
 08.01.21 07:00:00,18.801
 08.01.21 13:00:00,20.689
 08.01.21 19:00:00,20.682
 09.01.21 01:00:00,19.89
 09.01.21 07:00:00,17.839
 09.01.21 13:00:00,20.207
 09.01.21 19:00:00,20.681
 10.01.21 01:00:00,20.09
 10.01.21 07:00:00,17.847
 10.01.21 13:00:00,19.848
 10.01.21 19:00:00,20.305
 11.01.21 01:00:00,20.088
 11.01.21 07:00:00,19.453
 11.01.21 13:00:00,20.06
 11.01.21 19:00:00,20.705
 12.01.21 01:00:00,19.659
 12.01.21 07:00:00,18.759
 12.01.21 13:00:00,20.67
 12.01.21 19:00:00,19.182
 13.01.21 01:00:00,19.671
 13.01.21 07:00:00,18.692
 13.01.21 13:00:00,19.905
 13.01.21 19:00:00,19.707
 14.01.21 01:00:00,19.077
 14.01.21 07:00:00,17.635
 14.01.21 13:00:00,20.327
 14.01.21 19:00:00,20.676
 15.01.21 01:00:00,19.642
 15.01.21 07:00:00,18.854
 15.01.21 13:00:00,20.543
 15.01.21 19:00:00,20.68
 16.01.21 01:00:00,19.98
 16.01.21 07:00:00,18.092
 16.01.21 13:00:00,19.027
 16.01.21 19:00:00,20.71
 17.01.21 01:00:00,20.237
 17.01.21 07:00:00,18.581
 17.01.21 13:00:00,20.484
 17.01.21 19:00:00,20.718
 18.01.21 01:00:00,19.571
 18.01.21 07:00:00,18.865
 18.01.21 13:00:00,19.813
 18.01.21 19:00:00,20.68
 19.01.21 01:00:00,19.771
 19.01.21 07:00:00,18.599
 19.01.21 13:00:00,20.685
 19.01.21 19:00:00,20.661
 20.01.21 01:00:00,19.816
 20.01.21 07:00:00,18.702
 20.01.21 13:00:00,20.672
 20.01.21 19:00:00,20.724
 21.01.21 01:00:00,20.057
 21.01.21 07:00:00,18.987
 21.01.21 13:00:00,20.713
 21.01.21 19:00:00,20.697
 22.01.21 01:00:00,20.08
 22.01.21 07:00:00,19.219
 22.01.21 13:00:00,20.669
 22.01.21 19:00:00,20.721
 23.01.21 01:00:00,20.095
 23.01.21 07:00:00,18.114
 23.01.21 13:00:00,17.415
 23.01.21 19:00:00,20.45
 24.01.21 01:00:00,19.946
 24.01.21 07:00:00,17.735
 24.01.21 13:00:00,20.215
 24.01.21 19:00:00,20.61
 25.01.21 01:00:00,19.569
 25.01.21 07:00:00,18.633
 25.01.21 13:00:00,19.61
 25.01.21 19:00:00,20.53
 26.01.21 01:00:00,19.54
 26.01.21 07:00:00,18.401
 26.01.21 13:00:00,19.638
 26.01.21 19:00:00,19.27
 27.01.21 01:00:00,19.095
 27.01.21 07:00:00,18.645
 27.01.21 13:00:00,20.664
 27.01.21 19:00:00,20.624
 28.01.21 01:00:00,19.577
 28.01.21 07:00:00,17.378
 28.01.21 13:00:00,16.032
 28.01.21 19:00:00,15.613
 29.01.21 01:00:00,18.078
 29.01.21 07:00:00,17.331
 29.01.21 13:00:00,20.47
 29.01.21 19:00:00,20.673
 30.01.21 01:00:00,19.676
 30.01.21 07:00:00,17.565
 30.01.21 13:00:00,19.606
 30.01.21 19:00:00,20.591
 31.01.21 01:00:00,21.083
 31.01.21 07:00:00,18.848
 31.01.21 13:00:00,21.173
 31.01.21 19:00:00,21.561
 01.02.21 01:00:00,20.364
 01.02.21 07:00:00,19.952
 01.02.21 13:00:00,20.473
 01.02.21 19:00:00,19.954
 02.02.21 01:00:00,19.256
 02.02.21 07:00:00,18.424
 02.02.21 13:00:00,20.512
 02.02.21 19:00:00,20.364
 03.02.21 01:00:00,19.371
 03.02.21 07:00:00,17.101
 03.02.21 13:00:00,19.101
 03.02.21 19:00:00,20.573
 04.02.21 01:00:00,19.784
 04.02.21 07:00:00,18.353
 04.02.21 13:00:00,20.483
 04.02.21 19:00:00,20.678
 05.02.21 01:00:00,19.947
 05.02.21 07:00:00,18.926
 05.02.21 13:00:00,20.135
 05.02.21 19:00:00,20.667
 06.02.21 01:00:00,19.819
 06.02.21 07:00:00,17.683
 06.02.21 13:00:00,18.889
 06.02.21 19:00:00,20.672
 07.02.21 01:00:00,20.271
 07.02.21 07:00:00,18.308
 07.02.21 13:00:00,20.335
 07.02.21 19:00:00,20.683
 08.02.21 01:00:00,20.267
 08.02.21 07:00:00,19.661
 08.02.21 13:00:00,20.121
 08.02.21 19:00:00,20.636
 09.02.21 01:00:00,20.222
 09.02.21 07:00:00,20.121
 09.02.21 13:00:00,20.645
 09.02.21 19:00:00,20.591
 10.02.21 01:00:00,20.308
 10.02.21 07:00:00,20.198
 10.02.21 13:00:00,20.474
 10.02.21 19:00:00,20.405
 11.02.21 01:00:00,20.222
 11.02.21 07:00:00,20.161
 11.02.21 13:00:00,19.699
 11.02.21 19:00:00,19.526
 12.02.21 01:00:00,20.219
 12.02.21 07:00:00,19.788
 12.02.21 13:00:00,20.8
 12.02.21 19:00:00,19.849
 13.02.21 01:00:00,20.638
 13.02.21 07:00:00,20.654
 13.02.21 13:00:00,20.708
 13.02.21 19:00:00,20.514
 14.02.21 01:00:00,20.262
 14.02.21 07:00:00,20.179
 14.02.21 13:00:00,20.218
 14.02.21 19:00:00,19.387
 15.02.21 01:00:00,19.742
 15.02.21 07:00:00,20.159
 15.02.21 13:00:00,20.255
 15.02.21 19:00:00,20.097
 16.02.21 01:00:00,19.512
 16.02.21 07:00:00,16.974
 16.02.21 13:00:00,19.047
 16.02.21 19:00:00,20.537
 17.02.21 01:00:00,19.421
 17.02.21 07:00:00,16.896
 17.02.21 13:00:00,19.13
 17.02.21 19:00:00,20.593
 18.02.21 01:00:00,19.604
 18.02.21 07:00:00,17.025
 18.02.21 13:00:00,19.168
 18.02.21 19:00:00,20.62
 19.02.21 01:00:00,19.612
 19.02.21 07:00:00,18.368
 19.02.21 13:00:00,20.65
 19.02.21 19:00:00,20.66
 20.02.21 01:00:00,19.691
 20.02.21 07:00:00,17.516
 20.02.21 13:00:00,19.879
 20.02.21 19:00:00,20.593
 21.02.21 01:00:00,20.059
 21.02.21 07:00:00,17.864
 21.02.21 13:00:00,19.92
 21.02.21 19:00:00,18.153
 22.02.21 01:00:00,19.66
 22.02.21 07:00:00,18.943
 22.02.21 13:00:00,20.629
 22.02.21 19:00:00,20.656
 23.02.21 01:00:00,20.078
 23.02.21 07:00:00,18.886
 23.02.21 13:00:00,20.543
 23.02.21 19:00:00,20.269
 24.02.21 01:00:00,19.86
 24.02.21 07:00:00,18.901
 24.02.21 13:00:00,19.026
 24.02.21 19:00:00,18.053
 25.02.21 01:00:00,18.7
 25.02.21 07:00:00,18.123
 25.02.21 13:00:00,19.742
 25.02.21 19:00:00,20.123
 26.02.21 01:00:00,19.85
 26.02.21 07:00:00,18.953
 26.02.21 13:00:00,19.633
 26.02.21 19:00:00,20.465
 27.02.21 01:00:00,20.084
 27.02.21 07:00:00,18.239
 27.02.21 13:00:00,19.581
 27.02.21 19:00:00,18.881
 28.02.21 01:00:00,20.018
 28.02.21 07:00:00,17.994
 28.02.21 13:00:00,19.694
 28.02.21 19:00:00,20.674
 01.03.21 01:00:00,20.278
 01.03.21 07:00:00,19.187
 01.03.21 13:00:00,20.691
 01.03.21 19:00:00,20.68
 02.03.21 01:00:00,19.917
 02.03.21 07:00:00,18.804
 02.03.21 13:00:00,20.632
 02.03.21 19:00:00,20.685
 03.03.21 01:00:00,19.141
 03.03.21 07:00:00,18.418
 03.03.21 13:00:00,19.931
 03.03.21 19:00:00,20.656
 04.03.21 01:00:00,18.42
 04.03.21 07:00:00,17.673
 04.03.21 13:00:00,19.812
 04.03.21 19:00:00,20.651
 05.03.21 01:00:00,19.436
 05.03.21 07:00:00,18.581
 05.03.21 13:00:00,20.586
 05.03.21 19:00:00,20.545
 06.03.21 01:00:00,20.03
 06.03.21 07:00:00,18.139
 06.03.21 13:00:00,18.667
 06.03.21 19:00:00,19.74
 07.03.21 01:00:00,20.071
 07.03.21 07:00:00,17.68
 07.03.21 13:00:00,19.634
