Time,OEQ1962278:1_7,KEQ0195933:1_7
 13.05.21 21:00:00,,
 13.05.21 21:30:00,0,103.2
 13.05.21 22:00:00,0,44.6
 13.05.21 22:30:00,0,19
 13.05.21 23:00:00,0,17
 13.05.21 23:30:00,0,17
 14.05.21 00:00:00,0,16.375
 14.05.21 00:30:00,0,16
 14.05.21 01:00:00,0,16
 14.05.21 01:30:00,0,16
 14.05.21 02:00:00,0,16
 14.05.21 02:30:00,0,16
 14.05.21 03:00:00,0,16
 14.05.21 03:30:00,0,16
 14.05.21 04:00:00,0,16.216
 14.05.21 04:30:00,0,17
 14.05.21 05:00:00,0,20.111
 14.05.21 05:30:00,0,51.6
 14.05.21 06:00:00,25.706,111.364
 14.05.21 06:30:00,97.509,149
 14.05.21 07:00:00,121.906,177.273
 14.05.21 07:30:00,127.706,190.667
 14.05.21 08:00:00,166.484,192.182
 14.05.21 08:30:00,180.543,199.364
 14.05.21 09:00:00,201.868,207.25
 14.05.21 09:30:00,197.1,209.625
 14.05.21 10:00:00,202.158,211
 14.05.21 10:30:00,199.962,213.75
 14.05.21 11:00:00,207.062,217.364
 14.05.21 11:30:00,196.097,221.455
 14.05.21 12:00:00,197.99,222.5
 14.05.21 12:30:00,213.344,223.5
 14.05.21 13:00:00,206.117,223
 14.05.21 13:30:00,199.08,221.8
 14.05.21 14:00:00,202.059,221
 14.05.21 14:30:00,208.698,222.364
 14.05.21 15:00:00,195.192,222.1
 14.05.21 15:30:00,202.42,
 14.05.21 16:00:00,191.497,212.5
 14.05.21 16:30:00,203.822,211
 14.05.21 17:00:00,181.053,206.636
 14.05.21 17:30:00,132.126,194.111
 14.05.21 18:00:00,130.095,191.222
 14.05.21 18:30:00,138.462,190
 14.05.21 19:00:00,169.734,191.429
 14.05.21 19:30:00,185.269,197.125
 14.05.21 20:00:00,187.655,209.875
 14.05.21 20:30:00,156.433,211
 14.05.21 21:00:00,67.426,181.976
 14.05.21 21:30:00,0.833,143.926
 14.05.21 22:00:00,0,89.429
 14.05.21 22:30:00,0,37.333
 14.05.21 23:00:00,0,20.556
 14.05.21 23:30:00,0,18.333
 15.05.21 00:00:00,0,17
 15.05.21 00:30:00,0,16
 15.05.21 01:00:00,0,16
 15.05.21 01:30:00,0,16
 15.05.21 02:00:00,0,16
 15.05.21 02:30:00,0,16
 15.05.21 03:00:00,0,16
 15.05.21 03:30:00,0,16
 15.05.21 04:00:00,0,16
 15.05.21 04:30:00,0,16.818
 15.05.21 05:00:00,0,27.429
 15.05.21 05:30:00,18.715,76.778
 15.05.21 06:00:00,97.372,133.667
 15.05.21 06:30:00,162.538,171.667
 15.05.21 07:00:00,197.25,191.7
 15.05.21 07:30:00,212.265,210.364
 15.05.21 08:00:00,205.229,214.429
 15.05.21 08:30:00,209.07,211
 15.05.21 09:00:00,206.204,215
 15.05.21 09:30:00,203.903,219
 15.05.21 10:00:00,205.689,216.636
 15.05.21 10:30:00,210.519,216
 15.05.21 11:00:00,207.101,216.8
 15.05.21 11:30:00,207.394,217.25
 15.05.21 12:00:00,214.033,219.75
 15.05.21 12:30:00,207.969,216
 15.05.21 13:00:00,197.386,214
 15.05.21 13:30:00,198.206,214.2
 15.05.21 14:00:00,200.713,214.273
 15.05.21 14:30:00,200.579,213
 15.05.21 15:00:00,206.678,214.25
 15.05.21 15:30:00,214.04,215.2
 15.05.21 16:00:00,201.319,218.5
 15.05.21 16:30:00,199.329,212
 15.05.21 17:00:00,203.925,209
 15.05.21 17:30:00,207.184,211.818
 15.05.21 18:00:00,204.509,212.167
 15.05.21 18:30:00,205.128,213
 15.05.21 19:00:00,195.777,213.1
 15.05.21 19:30:00,193.142,212.889
 15.05.21 20:00:00,162.755,207.333
 15.05.21 20:30:00,117.144,197.333
 15.05.21 21:00:00,25.041,162.333
 15.05.21 21:30:00,0,126.222
 15.05.21 22:00:00,0,68.6
 15.05.21 22:30:00,0,28.875
 15.05.21 23:00:00,0,19.75
 15.05.21 23:30:00,0,18.6
 16.05.21 00:00:00,0,18
 16.05.21 00:30:00,0,18
 16.05.21 01:00:00,0,16.857
 16.05.21 01:30:00,0,16
 16.05.21 02:00:00,0,16
 16.05.21 02:30:00,0,16
 16.05.21 03:00:00,0,16
 16.05.21 03:30:00,0,16
 16.05.21 04:00:00,0,16
 16.05.21 04:30:00,0,17.444
 16.05.21 05:00:00,0,26.2
 16.05.21 05:30:00,0,52.364
 16.05.21 06:00:00,38.996,122.417
 16.05.21 06:30:00,83.536,156.333
 16.05.21 07:00:00,131.39,171.909
 16.05.21 07:30:00,154.029,190.364
 16.05.21 08:00:00,177.885,198.656
 16.05.21 08:30:00,202.519,206.571
 16.05.21 09:00:00,194.851,208.667
 16.05.21 09:30:00,214.499,208
 16.05.21 10:00:00,214.128,215.444
 16.05.21 10:30:00,209.944,216.6
 16.05.21 11:00:00,212.496,213.667
 16.05.21 11:30:00,216.245,213
 16.05.21 12:00:00,211.396,217.833
 16.05.21 12:30:00,210.957,217.091
 16.05.21 13:00:00,208.908,218
 16.05.21 13:30:00,208.91,217.455
 16.05.21 14:00:00,206.449,217
 16.05.21 14:30:00,205.339,220.182
 16.05.21 15:00:00,193.753,220.556
 16.05.21 15:30:00,210.076,218.333
 16.05.21 16:00:00,202.43,213.778
 16.05.21 16:30:00,201.041,211
 16.05.21 17:00:00,202.512,212.833
